timestamp,symbol,action,decision,best_side,best_confidence,buy_confidence,sell_confidence,buy_score,sell_score,buy_base_score,sell_base_score,buy_smc_score,sell_smc_score,buy_participation_score,sell_participation_score,buy_hard_ok,sell_hard_ok,buy_level_ok,sell_level_ok,buy_level,sell_level,buy_level_source,sell_level_source,buy_smc_sweep,sell_smc_sweep,buy_smc_order_block,sell_smc_order_block,buy_smc_fvg_support,sell_smc_fvg_support,buy_smc_fvg_block,sell_smc_fvg_block,btc_trend,btc_corr,relative_strength,entry_close,trend_close,confirm_close,futures_context_available,oi_change_pct,taker_buy_sell_ratio,global_long_short_ratio,top_long_short_ratio,funding_rate,skip_reason
2026-06-21T11:01:11,1MBABYDOGEUSDT,NO_SIGNAL,NONE,SELL,100,30.65,100,10.42,37.08,9,35,1.42,2.08,0,0,False,False,True,True,0.0003183,0.0003402,4h_pivot,4h_pivot,,,4h_ob,4h_ob,,1d_bearish_fvg,,,BEARISH,0.75,-2.44,0.0003268,0.0003292,0.0003278,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:13,NEIROUSDT,NO_SIGNAL,NONE,SELL,89.82,51.41,89.82,17.48,30.54,16,29,1.48,1.54,0,0,False,False,True,True,6.43e-05,6.807e-05,1d_pivot,4h_pivot,,,4h_ob,4h_ob,,,,,BEARISH,0.45,-3.21,6.643e-05,6.632e-05,6.638e-05,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:14,FIDAUSDT,SIGNAL,SELL,SELL,93.5,27.41,93.5,9.32,31.79,8,31,1.32,0.79,0,0,False,True,True,True,0.02,0.02306,1d_pivot,4h_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,4h_bearish_fvg,4h_bearish_fvg,4h_bullish_fvg,BEARISH,0.22,-5.68,0.02165,0.02192,0.02177,False,,,,,,
2026-06-21T11:01:15,HMSTRUSDT,NO_SIGNAL,NONE,SELL,68.94,60.94,68.94,20.72,23.44,18,23,2.72,0.44,0,0,False,False,True,True,0.0001537,0.0001695,1d_pivot,1d_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.2,-19.01,0.0001588,0.0001585,0.0001576,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:16,DIAUSDT,NO_SIGNAL,NONE,SELL,90.82,41.18,90.82,14,30.88,14,30,0,0.88,0,0,False,False,True,True,0.1188,0.1263,4h_pivot,4h_pivot,,,,,,1d_bearish_fvg,,,BEARISH,0.61,-3.17,0.1209,0.1217,0.1214,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:18,1000CATUSDT,NO_SIGNAL,NONE,SELL,93.82,38.97,93.82,13.25,31.9,16,29,-2.75,2.9,0,0,False,False,True,True,0.001371,0.001523,4h_pivot,4h_pivot,,1h,,,,4h_bearish_fvg,4h_bearish_fvg,,BEARISH,0.61,-5.6,0.001429,0.001432,0.001438,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:19,SCRUSDT,NO_SIGNAL,NONE,SELL,89.41,40.44,89.41,13.75,30.4,14,28,-0.25,2.4,0,0,False,False,True,True,0.03077,0.03379,1d_pivot,4h_pivot,4h,,,4h_ob,,1d_bearish_fvg,1d_bearish_fvg,,BEARISH,0.57,-2.88,0.03204,0.03209,0.03213,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:20,GOATUSDT,NO_SIGNAL,NONE,SELL,78.56,48.53,78.56,16.5,26.71,15,26,1.5,0.71,0,0,False,False,True,True,0.01302,0.01427,4h_pivot,4h_pivot,,,4h_ob,,,1d_bearish_fvg,,,BEARISH,0.6,0.89,0.01352,0.01347,0.01355,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:22,MOODENGUSDT,NO_SIGNAL,NONE,SELL,85.47,51.79,85.47,17.61,29.06,18,25,-0.39,4.06,0,0,False,False,True,True,0.03917,0.04066,4h_pivot,4h_pivot,,1h,4h_ob,4h_ob,4h_bullish_fvg,1d_bearish_fvg,1d_bearish_fvg,,BEARISH,0.72,1.21,0.04047,0.04036,0.04067,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:23,SAFEUSDT,NO_SIGNAL,NONE,SELL,97.06,37.97,97.06,12.91,33,11,33,1.91,0,0,0,False,False,True,True,0.0839,0.0945,4h_pivot,4h_pivot,,,4h_ob,,,,,,BEARISH,0.5,-4.28,0.0889,0.0897,0.0899,False,,,,,,NO_FINAL_SIGNAL
